Order ID#,Quantity Ordered,MSRP,Our Price,Product Type
2900,30," $9,500.00 "," $9,570.00 ",Motorcycles
1,34," $9,500.00 "," $8,134.00 ",Motorcycles
2,41," $9,500.00 "," $9,474.00 ",Motorcycles
3,45," $9,500.00 "," $8,326.00 ",Motorcycles
4,49," $9,500.00 "," $10,000.00 ",Motorcycles
5,36," $9,500.00 "," $9,666.00 ",Motorcycles
6,29," $9,500.00 "," $8,613.00 ",Motorcycles
7,48," $9,500.00 "," $10,000.00 ",Motorcycles
8,22," $9,500.00 "," $9,857.00 ",Motorcycles
9,41," $9,500.00 "," $10,000.00 ",Motorcycles
10,37," $9,500.00 "," $10,000.00 ",Motorcycles
11,23," $9,500.00 "," $10,000.00 ",Motorcycles
12,28," $9,500.00 "," $10,000.00 ",Motorcycles
13,34," $9,500.00 "," $10,000.00 ",Motorcycles
14,45," $9,500.00 "," $9,283.00 ",Motorcycles
15,36," $9,500.00 "," $10,000.00 ",Motorcycles
16,23," $9,500.00 "," $10,000.00 ",Motorcycles
17,41," $9,500.00 "," $10,000.00 ",Motorcycles
18,46," $9,500.00 "," $9,474.00 ",Motorcycles
19,42," $9,500.00 "," $10,000.00 ",Motorcycles
20,41," $9,500.00 "," $10,000.00 ",Motorcycles
21,20," $9,500.00 "," $7,255.00 ",Motorcycles
22,21," $9,500.00 "," $3,490.00 ",Motorcycles
23,42," $9,500.00 "," $7,636.00 ",Motorcycles
24,24," $9,500.00 "," $10,000.00 ",Motorcycles
25,66," $9,500.00 "," $10,000.00 ",Motorcycles
26,26," $21,400.00 "," $10,000.00 ",Classic Cars
27,29," $21,400.00 "," $10,000.00 ",Classic Cars
28,38," $21,400.00 "," $10,000.00 ",Classic Cars
29,37," $21,400.00 "," $10,000.00 ",Classic Cars
30,45," $21,400.00 "," $10,000.00 ",Classic Cars
31,21," $21,400.00 "," $10,000.00 ",Classic Cars
32,34," $21,400.00 "," $10,000.00 ",Classic Cars
33,23," $21,400.00 "," $10,000.00 ",Classic Cars
34,42," $21,400.00 "," $10,000.00 ",Classic Cars
35,47," $21,400.00 "," $10,000.00 ",Classic Cars
36,35," $21,400.00 "," $10,000.00 ",Classic Cars
37,29," $21,400.00 "," $10,000.00 ",Classic Cars
38,34," $21,400.00 "," $10,000.00 ",Classic Cars
39,32," $21,400.00 "," $10,000.00 ",Classic Cars
40,21," $21,400.00 "," $10,000.00 ",Classic Cars
41,34," $21,400.00 "," $10,000.00 ",Classic Cars
42,37," $21,400.00 "," $10,000.00 ",Classic Cars
43,47," $21,400.00 "," $10,000.00 ",Classic Cars
44,48," $21,400.00 "," $10,000.00 ",Classic Cars
45,40," $21,400.00 "," $10,000.00 ",Classic Cars
46,26," $21,400.00 "," $10,000.00 ",Classic Cars
47,30," $21,400.00 "," $10,000.00 ",Classic Cars
