Order ID#,Date of Order,Order Status,Customer Name,Customer Address,City,Country
2900,2003-02-24T00:00:00Z,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
1,2003-05-07T00:00:00Z,Shipped,Reims Collectables,59 rue de l'Abbaye,Reims,France
2,2003-07-01T00:00:00Z,Shipped,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France
3,2003-08-25T00:00:00Z,Shipped,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA
4,2003-10-10T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
5,2003-10-28T00:00:00Z,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA
6,2003-11-11T00:00:00Z,Shipped,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France
7,2003-11-18T00:00:00Z,Shipped,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway
8,2003-12-01T00:00:00Z,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA
9,2004-01-15T00:00:00Z,Shipped,Auto Canal Petit,"25, rue Lauriston",Paris,France
10,2004-02-20T00:00:00Z,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia
11,2004-04-05T00:00:00Z,Shipped,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA
12,2004-05-18T00:00:00Z,Shipped,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA
13,2004-06-28T00:00:00Z,Shipped,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA
14,2004-07-23T00:00:00Z,Shipped,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France
15,2004-08-27T00:00:00Z,Shipped,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA
16,2004-09-30T00:00:00Z,Shipped,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland
17,2004-10-15T00:00:00Z,Shipped,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway
18,2004-11-02T00:00:00Z,Shipped,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA
19,2004-11-15T00:00:00Z,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
20,2004-11-24T00:00:00Z,Shipped,Salzburg Collectables,Geislweg 14,Salzburg,Austria
21,2004-12-17T00:00:00Z,Shipped,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia
22,2005-02-03T00:00:00Z,Shipped,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France
23,2005-03-03T00:00:00Z,Shipped,FunGiftIdeas.com,1785 First Street,New Bedford,USA
24,2005-04-08T00:00:00Z,Shipped,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK
25,2005-05-13T00:00:00Z,Disputed,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain
26,2003-01-29T00:00:00Z,Shipped,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway
27,2003-03-24T00:00:00Z,Shipped,"Volvo Model Replicas, Co",Berguvsvâ€žgen  8,Lule,Sweden
28,2003-05-28T00:00:00Z,Shipped,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain
29,2003-07-24T00:00:00Z,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA
30,2003-09-19T00:00:00Z,Shipped,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
31,2003-10-20T00:00:00Z,Shipped,Classic Legends Inc.,5905 Pompton St.,NYC,USA
32,2003-11-06T00:00:00Z,Shipped,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia
33,2003-11-13T00:00:00Z,Shipped,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA
34,2003-11-25T00:00:00Z,Shipped,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France
35,2003-12-05T00:00:00Z,Shipped,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada
36,2004-01-29T00:00:00Z,Shipped,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA
37,2004-03-10T00:00:00Z,Shipped,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA
38,2004-05-04T00:00:00Z,Shipped,Super Scale Inc.,567 North Pendale Street,New Haven,USA
39,2004-06-15T00:00:00Z,Shipped,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan
40,2004-07-19T00:00:00Z,Shipped,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia
41,2004-08-17T00:00:00Z,Shipped,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy
42,2004-09-08T00:00:00Z,Shipped,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden
43,2004-10-11T00:00:00Z,Shipped,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France
44,2004-10-21T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
45,2004-11-04T00:00:00Z,Shipped,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA
46,2004-11-18T00:00:00Z,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA
47,2004-11-29T00:00:00Z,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia
48,2004-12-10T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
49,2005-01-20T00:00:00Z,Shipped,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA
50,2005-02-17T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
51,2005-03-09T00:00:00Z,Shipped,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia
52,2005-05-01T00:00:00Z,Shipped,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada
53,2005-05-31T00:00:00Z,In Process,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain
54,2003-02-24T00:00:00Z,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
55,2003-04-29T00:00:00Z,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia
56,2003-07-01T00:00:00Z,Shipped,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France
57,2003-08-25T00:00:00Z,Shipped,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA
58,2003-10-10T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
59,2003-10-28T00:00:00Z,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA
60,2003-11-11T00:00:00Z,Shipped,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France
61,2003-11-18T00:00:00Z,Shipped,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway
62,2003-12-01T00:00:00Z,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA
